"BehaviorSpace results (NetLogo 6.2.2)"
"multifirm_baseline.nlogo"
"1-and-2-layer-vary-primary-prod-capacity"
"07/04/2022 23:09:29:635 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","10","0","10"
"[run number]","setup-structure","primary-good-prod-function","max-prod-capacity-per-capita","alpha","layoff-probability","n-firms","index-in-use","firm-competency","transactions-per-month","n-households","mean-new-agreements-per-month","fix-n-framework-agreements?","firm-memory-constant","framework-duration","[step]","unemployment-rate","mean-consumer-demand-not-satisfied","mean-firm-demand-not-satisfied","total-sales","mean-cg-price","mean-pg-price","sd-cg-price","sd-pg-price","mean-current-profit-all-firms","mean-lifetime-profit-all-firms","turnover-rate","bankrupt-firms","mean-age","mean-inventories","household-wealth-concentration","household-wealth-variance","household-wealth-range","gini-coefficient"
"2","Single-PG&CG-Firm.json","linear","0.6","1","0.5","30","no index","0","1","500","2","false","0.8","24","13","0.040000000000000036","0.48520193023480135","<RuntimePrimitiveException>","300","12.381408982343345","12.381408982343345","0.1889971492244383","0.1889971492244383","109.63512540642063","1259.2179019877397","0","0","13","0","0.008877727382101202","32625.534520322562","867.7775732657137","0.6316530851177113"
"2","Single-PG&CG-Firm.json","linear","0.6","1","0.5","30","no index","0","1","500","2","false","0.8","24","14","0.040000000000000036","0.4365703784625443","<RuntimePrimitiveException>","297.9199868918805","12.603336680824377","12.603336680824377","0.1784608422785553","0.1784608422785553","111.11560993305173","1370.3335119207916","0","0","14","0.06933377027064906","0.009893293606353189","37461.775232350796","957.0776748304849","0.6712364997870426"
"1","Single-PG&CG-Firm.json","linear","0.1","1","0.5","30","no index","0","1","500","2","false","0.8","24","14","0.8200000000000001","0.7855372384114322","0","49.999999999999986","12.347733722077944","12.347733722077944","0.16196419103346965","0.16196419103346965","17.969539864027173","195.49662409935667","0","0","14","0","0.002237265225265652","1175.0075748587994","201.6203814620494","0.15573861546169399"
"2","Single-PG&CG-Firm.json","linear","0.6","1","0.5","30","no index","0","1","500","2","false","0.8","24","15","0.04600000000000004","0.37534773030388485","<RuntimePrimitiveException>","294.95727057141823","12.813141286341299","12.813141286341299","0.2189935934695411","0.2189935934695411","112.24881915520095","1482.582331075992","0","0","15","0.23742475122337492","0.010923003253368176","42379.31505233509","1017.3358179661948","0.7083291870701995"
"1","Single-PG&CG-Firm.json","linear","0.1","1","0.5","30","no index","0","1","500","2","false","0.8","24","15","0.8200000000000001","0.7753890463785105","0","49.999999999999986","12.48540500634244","12.48540500634244","0.19635239706908694","0.19635239706908694","18.22971791657456","213.72634201593124","0","0","15","0","0.0022744645496574675","1359.3563157109986","201.07493349411655","0.16680174044223528"
"2","Single-PG&CG-Firm.json","linear","0.6","1","0.5","30","no index","0","1","500","2","false","0.8","24","16","0.05400000000000005","0.32805660904370487","<RuntimePrimitiveException>","280.8966686158814","12.989896601502153","12.989896601502153","0.19713062990400806","0.19713062990400806","108.21930910434362","1590.8016401803357","0","0","16","0.8742024640273289","0.011913050021994812","47126.44218461012","1056.3056224158418","0.7417953600714922"
"1","Single-PG&CG-Firm.json","linear","0.1","1","0.5","30","no index","0","1","500","2","false","0.8","24","16","0.8200000000000001","0.7568526681093589","0","49.999999999999986","12.752102084765609","12.752102084765609","0.1739550298858924","0.1739550298858924","18.684542233751927","232.41088424968316","0","0","16","0","0.0023217961563262116","1593.897152073189","215.811057761557","0.17878103533126977"
"2","Single-PG&CG-Firm.json","linear","0.6","1","0.5","30","no index","0","1","500","2","false","0.8","24","17","0.08599999999999997","0.27248524854212103","<RuntimePrimitiveException>","264.3003859108158","13.24116683254502","13.24116683254502","0.20230838412694693","0.20230838412694693","104.49423027043548","1695.2958704507712","0","0","17","1.9641896003334693","0.012857287286941983","51729.05667011637","1101.2557968646802","0.7717669988002007"
"1","Single-PG&CG-Firm.json","linear","0.1","1","0.5","30","no index","0","1","500","2","false","0.8","24","17","0.8200000000000001","0.7430174454256574","0","49.999999999999986","12.990173882530275","12.990173882530275","0.18638377441267054","0.18638377441267054","19.115887104566507","251.52677135424966","0","0","17","0","0.0023692301505818802","1829.0108749647893","237.6907079288655","0.19007640884788302"
"2","Single-PG&CG-Firm.json","linear","0.6","1","0.5","30","no index","0","1","500","2","false","0.8","24","18","0.14200000000000002","0.23050184106806385","<RuntimePrimitiveException>","250.12360473642815","13.346638492763606","13.346638492763606","0.23565954216026722","0.23565954216026722","100.74287379535257","1796.0387442461242","0","0","18","3.4600694424525305","0.013740882133992329","56125.964193219406","1144.987647692102","0.7981890657348991"
